2018-06-06_17.08.32: ,EXPERIMENT SETTING
2018-06-06_17.08.32: ,Workspace size: (240  240), Resolution: 24, Num. of objects: 4
2018-06-06_17.08.32: ,Object 1 located at (15.6528;72.6359)    Size: (50  50)
2018-06-06_17.08.32: ,Object 2 located at (83.7578;-2.16035)    Size: (50  50)
2018-06-06_17.08.32: ,Object 3 located at (-89.0425;-63.5552)    Size: (50  50)
2018-06-06_17.08.32: ,Object 4 located at (-86.9413;9.06233)    Size: (50  50)
2018-06-06_17.08.32: ,DATA HEADER
2018-06-06_17.08.32: ,Command #, Type, Num. Kernels, Relation, Object ID, Qualifier, Pointing, User Orientation, Initial Pose, Final Pose, Fuzzy Pertinence, Path Found, Gest. Proc. Time, Mapping Time, Montecarlo Time, RRT* Time
2018-06-06_17.11.30: ,1, , 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_17.11.48: ,2, , 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_17.12.12: ,3, GO, 1, NEAR, 4, NORMAL, Not detected, -0.293695 deg., (61.423  -62.8085), (-95.7437  37.3666), 0.950058, yes, 0.163852, 0.00658471, 0.0108193, 4.01208
2018-06-06_17.12.30: ,4, , 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_17.12.44: ,5, GO, 2, LEFT, 1, NORMAL, Not detected, -0.293695 deg., (-92.1563  43.6116), (-36.4923  48.4069), 0.758015, yes, 0.198761, 0.00610582, 0.0318694, 6.7392
2018-06-06_17.13.11: ,6, GO, 3, RIGHT, 4, NORMAL, Not detected, -0.293695 deg., (-38.5463  60.7417), (-36.3485  45.9719), 0.750468, yes, 0.179864, 0.00607278, 0.0214881, 4.48031
2018-06-06_17.13.32: ,7, , 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_17.14.25: ,8, , 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_17.14.38: ,9, , 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_17.14.50: ,10, , 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_17.16.01: ,11, , 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_17.16.11: ,12, , 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_17.18.25: ,13, , 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_17.18.42: ,14, GO, 1, FRONT, 1, NORMAL, (-59.6704  5.36), -0.293695 deg., (-38.5425  60.7438), (-11.3092  -0.66393), 0.864135, yes, 0.171376, 0.00611956, 0.0222025, 4.64653
2018-06-06_17.19.05: ,15, GO, 2, RIGHT, 3, NORMAL, Not detected, -0.293695 deg., (-4.54388  -6.04741), (-42.2598  -49.6685), 0.826078, yes, 0.15329, 0.00618528, 0.0181433, 4.64373
2018-06-06_17.19.33: ,16, GO, 3, FRONT, 1, NORMAL, Not detected, -0.293695 deg., (-45.6032  -52.8849), (-31.2962  4.45352), 0.589101, yes, 0.127096, 0.00601429, 0.02086, 5.17394
2018-06-06_17.20.00: ,17, GO, 4, NEAR, 2, NORMAL, Not detected, -0.293695 deg., (-35.7981  12.7851), (-0.317016  -13.6387), 0.51978, yes, 0.134304, 0.00626185, 0.0212909, 4.53156
2018-06-06_17.20.22: ,18, , 4,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_17.20.33: ,19, , 4,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_17.20.43: ,20, , 4,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_17.20.46: ,21, , 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_17.21.05: ,22, GO, 1, FRONT, 1, NORMAL, (-27.7586  -29.7227), -0.293695 deg., (10.7014  -20.483), (-3.27475  -48.2771), 0.944795, yes, 0.19594, 0.00564028, 0.0213679, 4.70294
2018-06-06_17.21.31: ,23, , 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
